Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Author
"""...in this election they are being asked a deeper question, too, about what they have actually delivered during this decade of steady conservative ascendance.""

Stop electing them &amp; live better!

How Republican Senators Account for the Trump Presidency https://t.co/lqs1F5lJMw",22/10/2020 9:54,en,,1,0,,DC Boy,"3rd culture kid in DC fighting the good fight. I serve the people, but views are my own. RESISTING=bare minimum. ¡ It’s worse than it appears ! #PRU #NeverGOP",29201,91873,21468,22021,13,FALSE,@dcboyisangry
"""@BarackObama is going on the campaign trail, so now it’s time to ask him about the Russian collusion hoax he led, and if he knew @JoeBiden
 was getting money from Hunter Biden selling access.""

How much did Barack Obama get? https://t.co/DNCJQhWGeH",22/10/2020 10:00,en,,0,0,,Diana,"Family and country! gardener, writer, artist, investor... south garden area (pic) . . . .  Neither Democrat nor Republican
FRÉDÉRIC BASTIAT admirer",75157,12825,75,498,18,FALSE,@oledi45
"""A Peculiar Way to Pick a President"" by Unknown Author via NYT https://t.co/u6gJa62SI7",22/10/2020 10:10,en,,0,0,,Israel Stagman,Loving life and the happiness and laughter my two children bring to me every day  ),87012,0,325,387,15,FALSE,@israelstag
"""According to the crucial measure of income, these years worth of county data clash loudly with the Trump-as-phony-populist charge."" https://t.co/AxgOGWcMSV",22/10/2020 10:00,en,,0,0,,The American Conservative,"TAC is a bimonthly print and daily digital magazine of measured, principled conservatism. We believe in ideas over ideology and principles over party.",127723,4004,447,53120,1334,TRUE,@amconmag
"""Biden supports legislation holding adults criminally &amp; civilly liable for directly or negligently giving a minor access to a firearm, regardless of whether the minor actually gains possession of the firearm.""

Sooo... a gun owner allowing a child into their house is guilty then?",22/10/2020 10:06,en,,0,0,,Jeebus Christos,,39636,2,13,248,3,FALSE,@travelinjeebus
"""Black women chose Biden b/c that's who we thought White people would let us get away with. Black folks get the psychology of White people. Black women get it more because of the centuries we spent cleaning White folks’ houses &amp; raising their children.""
https://t.co/L98mbdyseS",22/10/2020 10:09,en,,0,0,,Rev. Fred Small,"Executive Director @mass_ipl, minister @uua, songwriter/songleader, born in New Jersey (Lenni Lenape land). Views expressed here are my own.",10241,28803,3889,2699,80,FALSE,@revfredsmall
"""Donald Trump's white privilege.

— @TaNehisiCoats https://t.co/4YsfXst4Pc"" https://t.co/GSYaQu2yZd",22/10/2020 9:58,en,,0,0,,Name cannot be blank 😐,an nyc chick doing some living in puerto rico || i am #yodito ✊🏿 #spelman 💙 || ΔΣΘ 🔺🐘 || signal/confide,31586,44900,736,461,14,FALSE,@BlackNewYorican
"""End the online sale of firearms and ammunitions. Biden will enact legislation to prohibit all online sales of firearms, ammunition, kits, and gun parts.""

But what if online is the only place in your area where you CAN get these items?",22/10/2020 10:02,en,,0,0,,Jeebus Christos,,39636,2,13,248,3,FALSE,@travelinjeebus
"""For close to four years now, he's shown no interest in putting in the work; no interest in finding common ground; no interest in using the awesome power of his office to help anyone but himself and his friends...” https://t.co/WSd7hBg0Gw",22/10/2020 9:54,en,,0,0,,Rose Mendonca,"My daughter Iris is my life. Producer, Writer, Director: Pieces People Productions. Board member @EmpireArtsCo. Indie film. Making bold moves since 1982.",37231,33053,4938,4105,108,FALSE,@xphile
"""Foreign hackers who targeted Trump, Biden campaigns are turning to malware, Google says""
https://t.co/QBieaFSFVx https://t.co/9jMi7FfR3A",22/10/2020 10:04,en,,0,0,,Brandy News,"Do you want to Earn Money without doing anything?
Fully Automated Website No Need to do anything.
Guarantee Money Making website. For more info Check the Link.",48510,90,2491,591,2,FALSE,@Brandy_Shp
"""Francis is a man of his time – the time of populist leaders like Donald Trump, whose soundbites are as mysterious as they are provocative"" | @ddhitchens https://t.co/sJ47iZccw6",22/10/2020 10:00,en,,1,0,,UnHerd,,28657,524,89,47492,442,TRUE,@unherd
